Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
one.equipment,available,132,44%,3,"Business,General,Media,Technology",,,
second.equipment,available,120,23%,6,"General,Mathematics",,,
flat.equipment,available,116,24%,4,"Construction,Real Estate",,,
tenth.equipment,available,116,7%,5,Mathematics,,,
nought.equipment,available,92,4%,6,Mathematics,,,
twentieth.equipment,available,92,3%,9,Mathematics,,,
leash.equipment,available,90,7%,5,"General,Health and Fitness,Retail",,,
sixteen.equipment,available,88,11%,7,Mathematics,,,
hundred.equipment,available,88,14%,7,Mathematics,,,
ten.equipment,available,88,28%,3,"General,Mathematics",,,
fifteen.equipment,available,88,13%,7,Mathematics,,,
ace.equipment,available,88,34%,3,Sports,,,
twelve.equipment,available,88,18%,6,"General,Mathematics",,,
three.equipment,available,88,24%,5,Mathematics,,,
eleven.equipment,available,88,33%,6,Mathematics,,,
cipher.equipment,available,86,29%,6,Mathematics,,,
xiv.equipment,available,86,12%,3,Mathematics,,,
xix.equipment,available,86,11%,3,Mathematics,,,
seventeen.equipment,available,84,7%,9,Mathematics,,,
thirteen.equipment,available,84,10%,8,Mathematics,,,
fourteen.equipment,available,84,8%,8,Mathematics,,,
nineteen.equipment,available,84,8%,8,Mathematics,,,
twentytwo.equipment,available,84,11%,10,Mathematics,,,
thousand.equipment,available,84,8%,8,Mathematics,,,
twentyone.equipment,available,84,13%,10,Mathematics,,,
dozen.equipment,available,82,10%,5,Mathematics,,,
decade.equipment,available,82,10%,6,Mathematics,,,
two.equipment,available,80,24%,3,Mathematics,,,
twenty.equipment,available,80,12%,6,Mathematics,,,
first.equipment,expiring,80,36%,5,"General,Mathematics",18/08/2015 23:40,18/08/2025 23:40,"Sav.com, LLC"
trio.equipment,available,80,21%,4,Entertainment,,,
yard.equipment,available,80,26%,4,"Construction,General",,,
twentysix.equipment,available,78,8%,10,Mathematics,,,
thirteenth.equipment,available,76,4%,10,Mathematics,,,
threed.equipment,available,76,7%,7,Technology,,,
fifteenth.equipment,available,76,2%,9,Mathematics,,,
hundredth.equipment,available,76,1%,9,Mathematics,,,
thousandth.equipment,available,76,1%,10,Mathematics,,,
eighteen.equipment,available,76,7%,8,Mathematics,,,
nineteenth.equipment,available,76,3%,10,Mathematics,,,
fourteenth.equipment,available,76,1%,10,Mathematics,,,
single.equipment,available,74,19%,6,Sports,,,
trinity.equipment,available,72,18%,7,Religion,,,
trey.equipment,available,72,14%,4,Sports,,,
ternary.equipment,available,72,7%,7,Mathematics,,,
unity.equipment,available,70,40%,5,Mathematics,,,
threesome.equipment,available,68,5%,9,Entertainment,,,
ane.equipment,available,68,12%,3,Mathematics,,,
thirtieth.equipment,available,68,1%,9,Mathematics,,,
deuce.equipment,available,66,9%,5,Sports,,,
xiii.equipment,available,66,9%,4,Mathematics,,,
xii.equipment,available,66,10%,3,Mathematics,,,
clv.equipment,available,66,10%,3,Mathematics,,,
xvii.equipment,available,66,5%,4,Mathematics,,,
xxv.equipment,available,66,6%,3,Mathematics,,,
xxi.equipment,available,66,10%,3,Mathematics,,,
xxii.equipment,available,66,6%,4,Mathematics,,,
xvi.equipment,available,66,5%,3,Mathematics,,,
onec.equipment,available,66,6%,5,Mathematics,,,
tenner.equipment,available,66,5%,6,Finance,,,
century.equipment,available,66,17%,7,Education,,,
xviii.equipment,available,66,5%,5,Mathematics,,,
thirty.equipment,available,66,8%,6,Mathematics,,,
xxvi.equipment,available,66,3%,4,Mathematics,,,
sixteenth.equipment,available,62,1%,9,Mathematics,,,
eighteenth.equipment,available,62,1%,10,Mathematics,,,
eleventh.equipment,available,62,5%,8,Mathematics,,,
chiliad.equipment,available,62,2%,7,Mathematics,,,
longdozen.equipment,available,62,2%,10,Mathematics,,,
twodozen.equipment,available,62,1%,9,Mathematics,,,
troika.equipment,available,62,8%,6,Politics,,,
cxxv.equipment,available,60,1%,4,Mathematics,,,
cxlv.equipment,available,60,2%,4,Mathematics,,,
clxx.equipment,available,60,3%,4,Mathematics,,,
clx.equipment,available,60,10%,3,Mathematics,,,
cxl.equipment,available,60,7%,3,Mathematics,,,
clxxx.equipment,available,60,1%,5,Mathematics,,,
clxxv.equipment,available,60,1%,5,Mathematics,,,
clxv.equipment,available,60,1%,4,Mathematics,,,
thou.equipment,available,60,7%,4,Mathematics,,,
cxxx.equipment,available,60,4%,4,Mathematics,,,
cxx.equipment,available,60,10%,3,Mathematics,,,
cxxxv.equipment,available,60,2%,5,Mathematics,,,
xcl.equipment,available,60,5%,3,Mathematics,,,
cxv.equipment,available,60,4%,3,Mathematics,,,
centesimal.equipment,available,58,1%,10,Mathematics,,,
cypher.equipment,available,58,29%,6,Mathematics,,,
twelfth.equipment,available,58,2%,7,Mathematics,,,
xxix.equipment,available,56,4%,4,Mathematics,,,
xxxi.equipment,available,56,9%,4,Mathematics,,,
xxiii.equipment,available,56,5%,5,Mathematics,,,
xxiv.equipment,available,56,5%,4,Mathematics,,,
thirtyone.equipment,available,56,5%,10,Mathematics,,,
xxvii.equipment,available,56,3%,5,Mathematics,,,
xxviii.equipment,available,56,1%,6,Mathematics,,,
thirtytwo.equipment,available,56,5%,10,Mathematics,,,
deuceace.equipment,available,54,2%,9,Sports,,,
triplet.equipment,available,50,8%,7,Science,,,
